Project Name,Build Tool,Build Tool Version,Has Serve,Serve Version,Serve Type,Notes
analytics-refactor,Vite,7.3.1,Yes,14.2.5,dependencies,Production server in build artifacts
patois-lyricist-v1.6-(dictionary-overhaul) (1),Vite,7.3.1,Yes,14.2.5,dependencies,Static file server
techbridge-strategy-dashboard,Vite,7.3.1,Yes,14.2.5,devDependencies,Development preview server with PWA support
aucdt-analytics-dashboard,Vite,6.0.1,No,N/A,N/A,Analytics dashboard
aucdt-dashboard,Vite,6.0.1,No,N/A,N/A,Main dashboard
aucdt-eligibility-checker,Vite,6.0.1,No,N/A,N/A,Eligibility verification tool
aucdt-assessment-platform,Vite,5.3.3,No,N/A,N/A,Assessment management
still_her_baby,Vite,4.4.5,No,N/A,N/A,Legacy Vite version
6r-product-design-workshop-portal,Vite,Unspecified,No,N/A,N/A,TechBridge workshop portal
agenticai-masterclass,Vite,Unspecified,No,N/A,N/A,AI masterclass platform
ai-@-techbridge,Vite,Unspecified,No,N/A,N/A,AI utilities
ai-code-reviewer,Vite,Unspecified,No,N/A,N/A,Code review tool
ai-studio-directives,Vite,Unspecified,No,N/A,N/A,AI workflow directives
ananse-cartoon-generator,Vite,Unspecified,No,N/A,N/A,Cartoon generation tool
aucdt-lead-generation-app (1),Vite,Unspecified,No,N/A,N/A,Lead generation
aucdt-lead-generation-infographic,Vite,Unspecified,No,N/A,N/A,Lead infographic tool
aucdt-lead-generator,Vite,Unspecified,No,N/A,N/A,Lead generation platform
aucdt-website-react,Vite,Unspecified,No,N/A,N/A,AUCDT main website
aurelia-v4---working-with-aurelia,Vite,Unspecified,No,N/A,N/A,Aurelia framework tutorial
aurelia-v4---working-with-aurelia (1),Vite,Unspecified,No,N/A,N/A,Aurelia framework tutorial
bp-bulletproof-directive-v22012026-1326,Vite,Unspecified,No,N/A,N/A,Bulletproof directive system
brainiac-challenge,Vite,Unspecified,No,N/A,N/A,Challenge platform
brand-guideline-checker,Vite,Unspecified,No,N/A,N/A,Brand compliance tool
cinematic-triptych-generator,Vite,Unspecified,No,N/A,N/A,Cinematic generator
ckt-utas-modern-website,Vite,Unspecified,No,N/A,N/A,CKT website
Class4_Digital_Learning_System,Vite,Unspecified,No,N/A,N/A,Learning management system
community-plates.v1,Vite,Unspecified,No,N/A,N/A,Community plates application
dadaist-concert-visualizer,Vite,Unspecified,No,N/A,N/A,Concert visualization
dictation-app,Vite,Unspecified,No,N/A,N/A,Dictation tool
